Date,Subscribers
2021-01-03,0
2021-01-04,2
2021-01-05,3
2021-01-06,1
2021-01-07,2
2021-01-08,1
2021-01-09,1
2021-01-10,1
2021-01-11,4
2021-01-12,8
2021-01-13,0
2021-01-14,0
2021-01-15,5
2021-01-16,1
2021-01-17,3
2021-01-18,5
2021-01-19,3
2021-01-20,3
2021-01-21,5
2021-01-22,3
2021-01-23,3
2021-01-24,3
2021-01-25,3
2021-01-26,2
2021-01-27,0
2021-01-28,4
2021-01-29,1
2021-01-30,3
2021-01-31,8
2021-02-01,3
2021-02-02,4
2021-02-03,2
2021-02-04,3
2021-02-05,6
2021-02-06,4
2021-02-07,5
2021-02-08,4
2021-02-09,4
2021-02-10,10
2021-02-11,2
2021-02-12,2
